host_id,host_name,list_id,neighbourhood_group,neighbourhood,calculated_host_listings_count
2787,John,2539,Brooklyn,Kensington,6
2845,Jennifer,2595,Manhattan,Midtown,2
4632,Elisabeth,3647,Manhattan,Harlem,1
4869,LisaRoxanne,3831,Brooklyn,Clinton Hill,1
7192,Laura,5022,Manhattan,East Harlem,1
7322,Chris,5099,Manhattan,Murray Hill,1
7356,Garon,5121,Brooklyn,Bedford-Stuyvesant,1
8967,Shunichi,5178,Manhattan,Hell's Kitchen,1
7490,MaryEllen,5203,Manhattan,Upper West Side,1
7549,Ben,5238,Manhattan,Chinatown,4
7702,Lena,5295,Manhattan,Upper West Side,1
7989,Kate,5441,Manhattan,Hell's Kitchen,1
9744,Laurie,5803,Brooklyn,South Slope,3
11528,Claudio,6021,Manhattan,Upper West Side,1
11975,Alina,6090,Manhattan,West Village,1
15991,Allen & Irina,6848,Brooklyn,Williamsburg,1
17571,Jane,7097,Brooklyn,Fort Greene,1
18946,Doti,7322,Manhattan,Chelsea,1
20950,Adam And Charity,7726,Brooklyn,Crown Heights,1
17985,Sing,7750,Manhattan,East Harlem,2
21207,Chaya,7801,Brooklyn,Williamsburg,1
22486,Lisel,8024,Brooklyn,Park Slope,6
22486,Lisel,8025,Brooklyn,Park Slope,6
22486,Lisel,8110,Brooklyn,Park Slope,6
25183,Nathalie,8490,Brooklyn,Bedford-Stuyvesant,2
25326,Gregory,8505,Brooklyn,Windsor Terrace,2
26394,Claude & Sophie,8700,Manhattan,Inwood,1
30193,Tommi,9357,Manhattan,Hell's Kitchen,1
31374,Shon,9518,Manhattan,Inwood,3
21904,Dana,9657,Manhattan,East Village,1
32294,Ssameer Or Trip,9668,Manhattan,Harlem,3
32045,Teri,9704,Manhattan,Harlem,1
32169,Andrea,9782,Brooklyn,Greenpoint,3
32294,Ssameer Or Trip,9783,Manhattan,Harlem,3
35935,Angela,10452,Brooklyn,Bedford-Stuyvesant,2
9744,Laurie,10962,Brooklyn,South Slope,3
7355,Vt,11452,Brooklyn,Bedford-Stuyvesant,1
44145,Tyrome,11708,Brooklyn,Bushwick,2
45445,Harriet,11943,Brooklyn,Flatbush,1
7549,Ben,12048,Manhattan,Lower East Side,4
46978,Edward,12192,Manhattan,East Village,2
47610,Abdul,12299,Brooklyn,South Slope,1
47618,Yolande,12303,Brooklyn,Fort Greene,1
16800,Cyn,12318,Manhattan,Upper West Side,1
47727,Earl,12343,Manhattan,Harlem,1
49670,Rana,12627,Brooklyn,Prospect-Lefferts Gardens,1
50124,Orestes,12937,Queens,Long Island City,1
50148,Adreinne,12940,Brooklyn,Bedford-Stuyvesant,1
50846,Jennifer,13050,Brooklyn,Bedford-Stuyvesant,1
52335,Alexander,13394,Brooklyn,Fort Greene,2
54275,JT And Tiziana,13808,Brooklyn,Bedford-Stuyvesant,3
56094,Joya,14287,Manhattan,Upper West Side,1
56104,James,14290,Brooklyn,Williamsburg,1
56246,Jeanne,14314,Brooklyn,Greenpoint,1
56284,Francesca,14322,Manhattan,Kips Bay,1
56512,Joanna,14377,Brooklyn,Williamsburg,1
