list_id,host_id,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
2539,2787,1,9,10/19/18,0.21,6,365
2595,2845,1,45,5/21/19,0.38,2,355
3647,4632,3,0,,,1,365
3831,4869,1,270,7/5/19,4.64,1,194
5022,7192,10,9,11/19/18,0.1,1,0
5099,7322,3,74,6/22/19,0.59,1,129
5121,7356,45,49,10/5/17,0.4,1,0
5178,8967,2,430,6/24/19,3.47,1,220
5203,7490,2,118,7/21/17,0.99,1,0
5238,7549,1,160,6/9/19,1.33,4,188
5295,7702,5,53,6/22/19,0.43,1,6
5441,7989,2,188,6/23/19,1.5,1,39
5803,9744,4,167,6/24/19,1.34,3,314
6021,11528,2,113,7/5/19,0.91,1,333
6090,11975,90,27,10/31/18,0.22,1,0
6848,15991,2,148,6/29/19,1.2,1,46
7097,17571,2,198,6/28/19,1.72,1,321
7322,18946,1,260,7/1/19,2.12,1,12
7726,20950,3,53,6/22/19,4.44,1,21
7750,17985,7,0,,,2,249
7801,21207,3,9,12/28/11,0.07,1,0
8024,22486,2,130,7/1/19,1.09,6,347
8025,22486,1,39,1/1/19,0.37,6,364
8110,22486,2,71,7/2/19,0.61,6,304
8490,25183,2,88,6/19/19,0.73,2,233
8505,25326,1,19,6/23/19,1.37,2,85
8700,26394,4,0,,,1,0
9357,30193,10,58,8/13/17,0.49,1,75
9518,31374,3,108,6/15/19,1.11,3,311
9657,21904,14,29,4/19/19,0.24,1,67
9668,32294,3,242,6/1/19,2.04,3,355
9704,32045,2,88,6/14/19,1.42,1,255
9782,32169,4,197,6/15/19,1.65,3,284
9783,32294,3,273,7/1/19,2.37,3,359
10452,35935,1,74,5/12/19,0.66,2,269
10962,9744,4,168,6/21/19,1.41,3,340
11452,7355,60,0,,,1,365
11708,44145,2,231,6/22/19,1.96,2,22
11943,45445,1,0,,,1,365
12048,7549,1,214,7/5/19,1.81,4,188
12192,46978,2,245,6/21/19,2.08,2,96
12299,47610,3,15,5/27/19,0.39,1,345
12303,47618,7,25,9/30/18,0.23,1,311
12318,16800,4,81,6/16/19,0.69,1,273
12343,47727,7,97,6/13/19,0.84,1,309
12627,49670,29,11,6/5/19,0.49,1,95
12937,50124,3,248,7/1/19,2.25,1,215
12940,50148,7,61,5/25/19,0.52,1,265
13050,50846,3,11,1/1/17,0.1,1,0
13394,52335,3,135,6/17/19,1.16,2,192
13808,54275,1,112,6/16/19,1.01,3,251
14287,56094,2,73,7/7/19,0.63,1,302
14290,56104,3,82,5/17/19,0.7,1,140
14314,56246,2,328,6/29/19,2.82,1,234
14322,56284,7,19,3/25/19,0.22,1,257
14377,56512,30,105,6/22/19,0.9,1,30
14991,59023,5,19,5/18/19,0.17,1,301
15220,59734,2,289,6/9/19,2.49,2,294
15338,32169,4,138,6/4/19,1.19,3,320
15341,60049,30,21,6/29/19,0.3,1,154
15385,60252,2,42,6/30/19,0.38,1,263
15396,60278,180,5,11/3/18,0.12,1,180
15711,61491,2,66,3/30/19,0.57,2,231
16326,63588,30,143,1/26/19,1.33,2,297
16338,63613,7,27,9/30/17,0.23,2,292
16421,63924,30,191,5/16/19,1.65,1,191
16458,64056,3,4,9/24/17,0.16,1,0
16580,64442,1,338,7/1/19,4.72,2,72
16595,64522,1,148,6/23/19,1.4,1,362
16821,4396,1,106,6/21/19,1.26,2,336
16974,65837,4,190,6/23/19,1.64,1,215
17037,66035,9,49,5/14/18,0.43,1,116
17092,66243,7,23,6/1/19,0.43,1,88
17693,68428,2,49,6/18/19,1.6,2,336
17747,68599,2,105,6/26/19,0.92,1,304
18127,69829,5,21,1/2/19,0.2,1,224
18152,69942,1,142,7/6/19,1.5,1,322
18198,70091,30,25,5/31/19,0.22,1,324
18590,71512,3,143,6/16/19,1.28,1,132
18728,71876,3,167,5/28/19,1.65,1,295
18764,72014,3,61,4/22/19,0.54,4,238
19159,73051,31,54,3/23/19,0.49,1,209
19169,73128,5,70,6/30/19,0.62,1,328
19282,73469,6,16,6/15/19,0.15,1,38
19319,44263,30,94,4/8/19,0.84,1,188
19601,74303,1,25,8/4/16,0.24,1,7
19812,74857,3,61,8/9/18,0.53,1,272
20299,62407,3,194,6/30/19,1.73,1,26
20300,76627,1,2,2/14/16,0.05,1,0
20611,72014,3,174,6/22/19,1.54,4,288
20724,961342,4,24,5/26/19,0.28,1,317
20734,78460,4,166,6/27/19,3.4,1,207
20755,51038,7,16,5/31/19,0.2,6,185
20853,79070,7,21,5/21/19,0.3,1,158
20913,79402,5,168,7/22/18,1.57,1,0
21293,44145,3,118,6/18/19,1.05,2,9
21456,42032,3,81,7/7/19,0.71,1,198
21644,82685,1,1,10/9/18,0.11,1,365
21794,83257,30,30,5/1/19,0.27,2,364
22911,87773,7,139,10/28/18,1.23,2,311
22918,32294,3,11,1/3/19,0.87,3,219
23135,11481,2,233,6/24/19,2.09,3,342
23501,63318,2,68,11/1/12,0.6,1,312
23686,93790,4,46,5/18/19,0.55,2,243
24143,97219,3,335,5/29/19,3.02,1,152
24285,97797,30,88,11/2/18,0.79,1,9
25235,87773,90,162,6/28/19,1.46,2,137
25406,105538,30,29,5/26/18,0.4,1,222
25696,107628,2,170,6/23/19,1.61,1,346
26012,109589,30,19,3/17/17,0.2,1,208
26362,59734,2,334,6/16/19,3,2,279
26520,51038,2,19,6/2/19,0.2,6,250
